FCD Primary Pillar,FCD Sub-domain,Existing indicator?,"If yes, source (i.e. FSD, SDGs, etc.)","If partial match, list related indicator",Indicator name,Lead,in progress,Definition (what the indicator measures),Relevance (why it matters for the project),Unit of measurement,Available Hanoi,Available Addis,Geographic coverage,Data source,Method (calculation or derivation),Years available,Update frequency,Limitations,Responsible researcher,Notes,
Cross-Cutting Issues,Resilience,0,,,Annual natural disaster frequency,Jemima,,"This indicator captures the annual number of recorded major natural disaster events (such as floods, typhoons, and droughts) affecting a given region over time, from 2000-present."," It measures the compounding stress of repetitive shocks on agricultural systems. High frequencies prevent local food supply chains and ecosystems from recovering, eroding long-term food system resilience",events/year,1,0,National ,EMDAT,,,,,,,
Cross-Cutting Issues,Resilience,Partial ,SDG,"SDG indicator:1.5.1/11.5.1/13.1.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Population affected by natural disasters,Jemima,,"This indicator tracks the total annual number of people injured, displaced, or requiring immediate humanitarian assistance due to extreme weather events and natural hazards"," It highlights local vulnerabilities where severe climate shocks threaten smallholder livelihoods, destroy rural household purchasing power, and trigger acute food insecurity.",persons,1,0,National ,EMDAT,,,,,,,
Cross-Cutting Issues,Resilience,1,FSD,,Food price volatility,,,Measures the resilience of urban food commodity price systems through a composite index combining volatility persistence and the frequency of extreme price shocks.,This indicator captures the ability of food markets to absorb and recover from shocks. It is useful for understanding whether urban food systems remain stable when exposed to price volatility.,Unitless (0-1),0,1,City,"World Food Programme Vulnerability Analysis and Mapping (WFP VAM) database monthly wholesale food prices, 120 Ethiopian markets","GARCH(1,1) models estimated on monthly log-return series (rв‚њ = ln(Pв‚њ/Pв‚њв‚‹в‚Ѓ)) using an ARMA(1,1) mean equation via the rugarch package in R. Persistence component = 1 в€’ (О±в‚Ѓ + ОІв‚Ѓ). Shock frequency component = 1 в€’ (proportion of months exceeding 95th percentile cross-commodity threshold). Both components normalised to [0,1] within commodity group. UFPRI = arithmetic mean of the two normalised components.","For Ethiopia: 2000вЂ“2024 (cereals); 2014вЂ“2021 (pulses, thin coverage)",Monthly,Pulse UFPRI scores are preliminary due to short data windows (19вЂ“20 observations); shock frequency component is unreliable for pulses and driven entirely by persistence. Cereal and pulse scores are not directly comparable (normalised separately).,Shamilah Nassozi,,
Cross-Cutting Issues,Governance,,,,"Government expenditure on human health, population and family planning",Minh ,,"Measures public expenditure on human health, population, and family planning as a share of GRDP.",This indicator reflects social investment and protection conditions that influence long-term food-system resilience and wellbeing.,%,1,0,City,GSO,,,,,,,
Cross-Cutting Issues,Resilience,Partial ,SDG,SDG UHC indicators 3.8.1 & 3.8.2,Health insurance coverage,,,Measures the share of the population covered by health insurance.,This indicator captures human-capital conditions that affect households' ability to absorb shocks and maintain food security outcomes.,%,1,0,City,HSO,,,,,,,
Cross-Cutting Issues,Resilience,1,"FSD,  SDG",SDG 1.3.1,Social protection coverage,,,Measures the share of the population covered by social security programmes.,This indicator captures human-capital conditions that affect households' ability to absorb shocks and maintain food security outcomes.,%,1,0,City,HSO,,,,,,,
Cross-Cutting Issues,Governance,,,,Provincial Competitiveness Index (PCI),Minh ,,Measures Provincial Competitiveness Index (PCI) within the Hanoi resilience indicator framework.,"This indicator reflects food supply-chain infrastructure and performance, supporting analysis of system robustness and continuity under stress.",n/a,1,0,City,VCCI,,,,,,,
Drivers,Income growth and distribution,1,UNDP & OPHI,SDG 2.00,Multidimensional Poverty Index - Living standard dimension,Yared ,,"Measures the percentage of households deprived in the living standards dimension of the OPHI Multidimensional Poverty Index, including housing conditions, assets, drinking water, electricity, cooking fuel, and sanitation. ","This indicator helps identify population groups experiencing structural deprivation that may constrain food access, diet quality, and resilience within the food system.",%,1,1,Wards/ commune,Vietnam population and housing survey/ESPS5 2021/22 and DHS 2024,Global MPI index used by UNDP and Oxford Public Health Institute,2019-Hanoi/EFS survey/ESPS5/DHS2024,Update depend on the release/access of new survey,Avilability of survey,Yared Tessema,"Galina shared with me, when I joined the project",
Drivers,Income growth and distribution,1,UNDP & OPHI,SDG 2.00,Percentage of households deprived of adequet housing ,Yared ,,"Measures the percentage of surveyed households where the floor, roof, or walls are made of inadequate natural or crude materials.",This indicator helps identify population groups experiencing structural deprivation in living standards,%,1,1,Distirct,Vietnam population and housing survey/ESPS5 2021/22 and DHS 2024,Global MPI index used by UNDP and Oxford Public Health Institute,2019-Hanoi/EFS survey/ESPS5/DHS2024,5 years gap,,Yared Tessema,,
Drivers,Income growth and distribution,1,UNDP & OPHI,SDG 2.00,Percentage of households deprived of assets,Yared ,,"Measures the percentage of surveyed households where	the household does not own more than one of these assets: radio, TV, telephone, computer, animal cart, bicycle, motorbike, or refrigerator, and does not own a car or truck",This indicator helps identify population groups experiencing structural deprivation in living standards,%,1,1,Distirct,Vietnam population and housing survey/ESPS5 2021/22 and DHS 2024,Global MPI index used by UNDP and Oxford Public Health Institute,2019-Hanoi/EFS survey/ESPS5/DHS2024,5 years gap,,Yared Tessema,,
Drivers,Income growth and distribution,1,UNDP & OPHI,SDG 2.00,Percentage of households deprived of drinking water,Yared ,,"Measures the percentage of surveyed households where the household’s source of drinking water is not safe or safe drinking water is a 30-minute or longer walk from home, roundtrip.",This indicator helps identify population groups experiencing structural deprivation in living standards,%,1,1,Distirct,Vietnam population and housing survey/ESPS5 2021/22 and DHS 2024,Global MPI index used by UNDP and Oxford Public Health Institute,2019-Hanoi/EFS survey/ESPS5/DHS2024,5 years gap,,Yared Tessema,,
Drivers,Income growth and distribution,1,UNDP & OPHI,SDG 2.00,Percentage of households deprived of electricity,Yared ,,Measures the percentage of surveyed households where the household has no electricity,This indicator helps identify population groups experiencing structural deprivation in living standards,%,1,1,Distirct,Vietnam population and housing survey/ESPS5 2021/22 and DHS 2024,Global MPI index used by UNDP and Oxford Public Health Institute,2019-Hanoi/EFS survey/ESPS5/DHS2024,5 years gap,,Yared Tessema,,
Drivers,Income growth and distribution,1,UNDP & OPHI,SDG 2.00,Percentage of households deprived of cooking fuel,Yared ,,"Measures the percentage of surveyed households where the household cooks using solid fuel, such as dung, agricultural crop, shrubs, wood, charcoal, or coal",This indicator helps identify population groups experiencing structural deprivation in living standards,%,1,1,Distirct,Vietnam population and housing survey/ESPS5 2021/22 and DHS 2024,Global MPI index used by UNDP and Oxford Public Health Institute,2019-Hanoi/EFS survey/ESPS5/DHS2024,5 years gap,,Yared Tessema,,
Drivers,Income growth and distribution,1,UNDP & OPHI,SDG 2.00,Percentage of households deprived of sanitation,Yared ,,Measures the percentage of surveyed households where the household has unimproved or no sanitation facility or it is improved but shared with other households,This indicator helps identify population groups experiencing structural deprivation in living standards,%,1,1,Distirct,Vietnam population and housing survey/ESPS5 2021/22 and DHS 2024,Global MPI index used by UNDP and Oxford Public Health Institute,2019-Hanoi/EFS survey/ESPS5/DHS2024,5 years gap,,Yared Tessema,,
Drivers,Income growth and distribution,1,UNDP & OPHI,SDG 2.00,Percentage of households deprived  of Health dimension,Yared ,In progress,"Measures the percentage of households deprived in the health dimension of the OPHI Multidimensional Poverty Index, including nutrition and child mortality.","This indicator helps identify population groups experiencing structural deprivation that may constrain food access, diet quality, and resilience within the food system.",%,0,0,Distirct,Vietnam population and housing survey/ESPS5 2021/22 and DHS 2024,Global MPI index used by UNDP and Oxford Public Health Institute,2019-Hanoi/EFS survey/ESPS5/DHS2024,5 years gap,,Yared Tessema,,
Drivers,Income growth and distribution,1,UNDP & OPHI,SDG 2.00,Percentage of households deprived  of Education dimension,Yared ,In progress,"Measures the percentage of households deprived in the health dimension of the OPHI Multidimensional Poverty Index, including years of schooling and school attendance.","This indicator helps identify population groups experiencing structural deprivation that may constrain food access, diet quality, and resilience within the food system.",%,0,0,Distirct,Vietnam population and housing survey/ESPS5 2021/22 and DHS 2024,Global MPI index used by UNDP and Oxford Public Health Institute,2019-Hanoi/EFS survey/ESPS5/DHS2024,5 years gap,,Yared Tessema,,
Drivers,Environment and climate change,1,FAO ASIS,,Vegetation condition index (VCI),,,"Measures and maps vegetation condition weighted by a historical extremes, expressed as a percentage where low values indicate environmental stress.","This indicator is a valuable tool for identifying and monitoring agricultural stress, quantifying duration and intensity of agricultural droughts and correlating strongly with reduced yield. ",%,1,0,,Internally produced from MODIS,Application of standard formula for VCI to 250m resolution MODIS data and aggregated at commune level,2002-2026,Could generate new data monthly,,Jemima O'Farrell,,
Drivers,Environment and climate change,0,,,Agricultural climate resilience indicator,,In progress,Measures how well cropland vegetation maintains healthy vegetation conditions during agricultural drought events.,This indicator helps identify production areas that are most vulnerable to climate stress and where agricultural shocks are most likely to affect wider food supply chains.,Unitless (0-1),0,0,National ,Internally produced from ERA5-Land and MODIS,Calculated using the vegetation condition index and the SPEI6 medium-term agricultural drought classification system to assess vegetation condition relative to drought severity.,2002-2026,Could generate new data monthly,Land cover classification accuracy of active cropland,Jemima O'Farrell,,
Drivers,Environment and climate change,Partial ,SDG,6.4.2 related but under review to disaggregate as doesn't include groundwater resources at present,Multi-decadal groundwater stress indicator,Jemima,,"Measures anomalies in total terrestrial water storage, including groundwater, surface water, and soil moisture, relative to expected seasonal conditions at sub-national level.",This indicator is important for understanding water-related constraints on agricultural production and for identifying regions where water stress may undermine food system resilience.,mm ,1,0,National ,Internally produced from GRACE/GRACE-FO mission,Calculated by removing the climatology and seasonality from the signal to reveal only anomalies from the usual seasonal water cycle.,2002-2026,Can only update when CSR updates ,Coarse resolution ,Jemima O'Farrell,,
Drivers,Environment and climate change,Partial ,SDG,6.4.2 related but under review to disaggregate as doesn't include groundwater resources at present,Terrestrial water storage stability index,Jemima,In progress,Measures the long-term stability and predictability of available freshwater and groundwater resources at the sub-national commune level over a multi-decadal (25-year) timeline.,This indicator identifies hotspots at risk of permanent irrigation failure or cropland vulnerable to severe climate shocks. This enables targeted development of water-saving agricultural practices and drought-resilient crops for improved food security.,,0,0,National ,Internally produced from GRACE/GRACE-FO mission,Calculated by removing the climatology and seasonality from the signal to reveal only anomalies from the usual seasonal water cycle.,2002-2026,Can only update when CSR updates ,Coarse resolution ,Jemima O'Farrell,,
Drivers,Environment and climate change,Partial ,SDG,Indicator 2.4.1 - Proportion of agricultural area under productive and sustainable agriculture,Proportion of rice paddy farming area,Jemima,,Measures the percentage of area occupied by rice paddies as a proportion of total commune area at sub-city level,This indicator helps to spatially identify rice growing communes in the city which may buffer the food system against supply-chain shocks and support urban agriculture,%,1,0,City,JAXA,,,,,,,
Drivers,Environment and climate change,Partial ,SDG,Indicator 2.4.1 - Proportion of agricultural area under productive and sustainable agriculture,Proportion of crop farming area,Jemima,,Measures the percentage of area occupied by cropland (not including rice) as a proportion of total commune area at sub-city level,This indicator helps to spatially identify other crop growing communes in the city which may buffer the food system against supply-chain shocks and support urban agriculture,%,1,0,City,JAXA,,,,,,,
Drivers,Environment and climate change,Partial ,SDG,Indicator 2.4.1 - Proportion of agricultural area under productive and sustainable agriculture,Proportion of woody crop farming area,Jemima,,Measures the percentage of area occupied by woody crops as a proportion of total commune area at sub-city level,This indicator helps to spatially identify woody crop growing communes in the city which may buffer the food system against supply-chain shocks and support urban agriculture,%,1,0,City,JAXA,,,,,,,
Drivers,Environment and climate change,Partial ,SDG,Indicator 2.4.1 - Proportion of agricultural area under productive and sustainable agriculture,Proportion of aquaculture farming area,Jemima,,Measures the percentage of area occupied by aquaculture as a proportion of total commune area at sub-city level,This indicator helps to spatially identify aquaculture farming communes in the city which may buffer the food system against supply-chain shocks and support urban aquaculture,%,1,0,City,JAXA,,,,,,,
Drivers,Environment and climate change,1,SDG,Indicator 15.1.1 - Forest area as a percentage of total land area,Proportion of forest area,Jemima,,"Measures the percentage of area occupied by forestry, disaggregated by forestry type, as a proportion of total commune area at sub-city level",Changes in forest area reflect changes in demand for land for other uses and may help in identifying unsustainable practices in the forest and agriculture sectors.,%,1,0,City,JAXA,,,,,,,
Drivers,Environment and climate change,1,FSD,,Agricultural land change ,Jemima,In progress,Measures agricultural land expansion or contraction at commune level from 2007-2020,"This indicates agricultural land dynamics, which can affect food supply and environmental quality.",hectares,0,0,City,JAXA,,,,,,,
Drivers,Environment and climate change,1,SDG,"11.3.1 is defined as the uptake of land by urbanized land uses, which often involves conversion of land from non-urban to urban functions.",Urban encrochment on agricultural land,Jemima,In progress,Measures agricultural land conversion into urban/built area commune level from 2007-2020,"This indicates agricultural land dynamics, which can affect food supply and environmental quality.",hectares,0,0,City,JAXA,,,,,,,
