#,Affordable diets,Sustainable diets,Healthier diets,Pillars by FSD,FSD Sub-domain,FCD Primary Pillar,FCD Sub-domain,SDGs? (Y/N),Pillars by FSCI,Domain / Sub-theme,Indicator name,in progress,Definition (what the indicator measures),Relevance (why it matters for the project),Unit of measurement,Available Hanoi,Available Addis,Geographic coverage,Data source,Method (calculation or derivation),Years available,Update frequency,Limitations,Responsible researcher,Notes
22,x,x,x,Cross-cutting Issues,Policy actions & enabling environment,Cross-Cutting Issues,Governance,,Governance,Policies and Regulation,Food systems policies database,,"Tracks the presence or absence of national binding policy documents relevant to food systems, including policies on biofortification, food environments, nutrition labelling, and the marketing of unhealthy foods to children.","This indicator provides an overview of the policy environment shaping the food system and helps assess the extent to which governance frameworks support healthier, more sustainable, and more equitable diets.",units from 0 to 4,1,1,National ,FAOLEX,"FAOLEX dataset consultation, based on keywords, and confirmation by summary reading.",,,,Carlos Rodriguez,
23,x,x,x,Cross-cutting Issues,Policy actions & enabling environment,Cross-Cutting Issues,Governance,,Governance,Food Systems Stakeholders,Food systems stakeholder database,,"Compiles a structured database of organisations, institutions, and other actors involved in the food system.","This indicator supports stakeholder mapping, coordination, and analysis of the governance landscape by showing who is active in the food system and where influence and implementation capacity are located.",,1,1,,Internally produced,,,,,,
25,,,,Cross-cutting Issues,Policy actions & enabling environment,Cross-Cutting Issues,Governance,,"Livelihoods, Poverty & Equity","Labour, Skills & Green Jobs","Labour, skills & green jobs ",In progress,Indicator under development; the definition will be refined once the data source and analytical method are finalized.,This entry is retained to reflect the current project pipeline and will support dashboard expansion once the indicator is fully specified.,In progress,0,0,In progress,In progress,In progress,In progress,In progress,In progress,In progress,
26,,,,Individual Factors,"Consumer behaviours – acquisition, preparation, storage & waste",Cross-Cutting Issues,Governance,,Governance,Behaviour Change Tools,Behaviour change tools,In progress,Indicator under development; the definition will be refined once the data source and analytical method are finalized.,This entry is retained to reflect the current project pipeline and will support dashboard expansion once the indicator is fully specified.,In progress,0,0,In progress,In progress,In progress,In progress,In progress,In progress,In progress,
27,x,x,x,Cross-cutting Issues,Policy actions & enabling environment,Cross-Cutting Issues,Resilience,,"Environment, Natural Resources & Production",Sustainability Metrics,Sustainability metrics database,,"Compiles environmental, food security, nutrition, governance, and resilience metrics to support an integrated assessment of food system sustainability.","This indicator provides a consolidated view of the overall sustainability status of the city-region food system and helps identify thematic strengths, weaknesses, and priority gaps.",In progress but it should be from 0 to 100 or 0 to 1,1,1,In progress,"Multiple (OSM, national and regional survey, satellite remote sensing, climate, and published reports)",,In progress,"It will combine data from different sources for different time periods. Thus, it is hard to define at the moment. In progress  ",Data avilability for all the indicators identifyed/listed,Yared Tessema,Indicators are identified
,,x,,Drivers,"Biophysical, climate & environment",Cross-Cutting Issues,Resilience,,Resilience,Resilience,Natural disasters database,,Summarizes the frequency of reported natural disasters at national scale using the EM-DAT disaster database.,This indicator provides a historical record of exposure to biophysical shocks and helps contextualize resilience risks within the broader hazard environment.,Unitless ,1,0,National ,EMDAT,,,,,,
32,,x,,Drivers,Politics & leadership,Cross-Cutting Issues,Resilience,,Resilience,Resilience,Food price volatility,,Measures the resilience of urban food commodity price systems through a composite index combining volatility persistence and the frequency of extreme price shocks.,This indicator captures the ability of food markets to absorb and recover from shocks. It is useful for understanding whether urban food systems remain stable when exposed to price volatility.,"Unitless (0-1) Dimensionless composite score, normalised 0â€“1 within commodity group (0 = least resilient, 1 = most resilient)",0,1,City,"World Food Programme Vulnerability Analysis and Mapping (WFP VAM) database monthly wholesale food prices, 120 Ethiopian markets","GARCH(1,1) models estimated on monthly log-return series (râ‚œ = ln(Pâ‚œ/Pâ‚œâ‚‹â‚)) using an ARMA(1,1) mean equation via the rugarch package in R. Persistence component = 1 âˆ’ (Î±â‚ + Î²â‚). Shock frequency component = 1 âˆ’ (proportion of months exceeding 95th percentile cross-commodity threshold). Both components normalised to [0,1] within commodity group. UFPRI = arithmetic mean of the two normalised components.","For Ethiopia: 2000â€“2024 (cereals); 2014â€“2021 (pulses, thin coverage)",Monthly,Pulse UFPRI scores are preliminary due to short data windows (19â€“20 observations); shock frequency component is unreliable for pulses and driven entirely by persistence. Cereal and pulse scores are not directly comparable (normalised separately).,Shamilah Nassozi,
36,,x,,Drivers,"Population growth, migration & conflict",Cross-Cutting Issues,Governance,,Resilience,Resilience,"Government expenditure on human health, population and family planning",,"Measures public expenditure on human health, population, and family planning as a share of GRDP.",This indicator reflects social investment and protection conditions that influence long-term food-system resilience and wellbeing.,Percentage,1,0,City,GSO,,,,,,
39,,x,,Cross-cutting Issues,Policy actions & enabling environment,Cross-Cutting Issues,Resilience,,Resilience,Resilience,Health insurance coverage,,Measures the share of the population covered by health insurance.,This indicator captures human-capital conditions that affect households' ability to absorb shocks and maintain food security outcomes.,Percentage,1,0,City,HSO,,,,,,
45,,x,,Cross-cutting Issues,Policy actions & enabling environment,Cross-Cutting Issues,Resilience,,Resilience,Resilience,Social protection coverage,,Measures the share of the population covered by social security programmes.,This indicator captures human-capital conditions that affect households' ability to absorb shocks and maintain food security outcomes.,Percentage,1,0,City,HSO,,,,,,
57,,x,,Cross-cutting Issues,Policy actions & enabling environment,Cross-Cutting Issues,Governance,,Resilience,Resilience,Number of policies on Food,,Measures the number of policy instruments explicitly related to food systems.,"This indicator reflects food supply-chain infrastructure and performance, supporting analysis of system robustness and continuity under stress.",,1,0,City,Desk Review,,,,,,
61,,x,,Drivers,Income growth & distribution,Cross-Cutting Issues,Governance,,Resilience,Resilience,Provincial Competitiveness Index (PCI),,Measures Provincial Competitiveness Index (PCI) within the Hanoi resilience indicator framework.,"This indicator reflects food supply-chain infrastructure and performance, supporting analysis of system robustness and continuity under stress.",,1,0,City,VCCI,,,,,,
18,x,,x,Drivers,Income growth & distribution,Drivers,Income growth and distribution,,"Livelihoods, Poverty & Equity",Multidimensional Poverty,"Living standard dimension (housing condition, assets, drinking water, electricity, cooking fuel, sanitation)",,"Measures the percentage of households deprived in the living standards dimension of the OPHI Multidimensional Poverty Index, including housing conditions, assets, drinking water, electricity, cooking fuel, and sanitation.","This indicator helps identify population groups experiencing structural deprivation that may constrain food access, diet quality, and resilience within the food system.",Percentage of household,1,1,Wards/ commune,Vietnam population and housing survey,Global MPI index used by UNDP and Oxford Public Health Institute,2019,Update depend on the release/access of new survey,Avilability of survey,Yared Tessema,"Galina shared with me, when I joined the project"
19,,,x,Drivers,Income growth & distribution,Drivers,Income growth and distribution,,"Livelihoods, Poverty & Equity",Multidimensional Poverty,"Health dimension (nutrition, child mortality)",In progress,"Measures the percentage of households deprived in the health dimension of the OPHI Multidimensional Poverty Index, including nutrition and child mortality.",This indicator helps identify populations facing overlapping health and poverty disadvantages that are closely linked to food system inequities and nutrition outcomes.,,0,0,,Data unavailable for this region,,,,,Yared Tessema,
20,,x,x,Drivers,Income growth & distribution,Drivers,Income growth and distribution,,"Livelihoods, Poverty & Equity",Multidimensional Poverty,"Education (year of schooling, school attendance)",In progress,"Measures the percentage of households deprived in the education dimension of the OPHI Multidimensional Poverty Index, including years of schooling and school attendance.","This indicator supports analysis of structural disadvantage by highlighting education-related deprivation, which shapes long-term livelihood opportunities, dietary access, and resilience.",,0,0,,Data unavailable for this region,,,,,Yared Tessema,
,,,,,,Drivers,Environment and climate change,,,,Vegetation condition index (VCI),,"Measures and maps vegetation condition weighted by a historical extremes, expressed as a percentage where low values indicate environmental stress.","This indicator is a valuable tool for identifying and monitoring agricultural stress, quantifying duration and intensity of agricultural droughts and correlating strongly with reduced yield. ",Percentage,1,0,,Internally produced from MODIS,Application of standard formula for VCI to 250m resolution MODIS data and aggregated at commune level,2002-2026,Could generate new data monthly,,Jemima O'Farrell,
30,,x,,Drivers,"Biophysical, climate & environment",Drivers,Environment and climate change,,Resilience,Resilience,Agricultural climate resilience indicator,,Measures how well cropland vegetation maintains healthy vegetation conditions during agricultural drought events.,This indicator helps identify production areas that are most vulnerable to climate stress and where agricultural shocks are most likely to affect wider food supply chains.,Unitless (0-1),1,0,National ,Internally produced from ERA5-Land and MODIS,Calculated using the vegetation condition index and the SPEI6 medium-term agricultural drought classification system to assess vegetation condition relative to drought severity.,2002-2026,Could generate new data monthly,Land cover classification accuracy of active cropland,Jemima O'Farrell,
